,Event Count,Event Size
2013-09-03,130260,624346
2013-09-04,130576,725024
2013-09-05,126971,589864
2013-09-06,110247,761967
2013-09-07,90194,389782
2013-09-08,101049,522505
2013-09-09,131099,599566
2013-09-10,135007,658058
2013-09-11,130771,603423
2013-09-12,134493,588180
2013-09-13,118533,494714
2013-09-14,85869,333211
2013-09-15,99340,411493
2013-09-16,133283,548074
2013-09-17,133537,538035
2013-09-18,130582,494460
2013-09-19,111212,457023
2013-09-20,117002,421816
2013-09-21,91742,298577
2013-09-22,99576,346901
2013-09-23,131315,514932
2013-09-24,136159,532119
2013-09-25,132414,507691
2013-09-26,132103,535052
2013-09-27,120902,500378
2013-09-28,90023,304375
2013-09-29,105859,371569
2013-09-30,134150,502919
2013-10-01,132840,529535
2013-10-02,155420,507337
2013-10-03,140717,474608
2013-10-04,151337,483838
2013-10-05,110003,333391
2013-10-06,121816,374753
2013-10-07,139173,559748
2013-10-08,141207,556590
2013-10-09,143151,553169
2013-10-10,143824,623931
2013-10-11,128904,565896
2013-10-12,92637,364950
2013-10-13,102020,397488
2013-10-14,136338,681746
2013-10-15,144929,614986
2013-10-16,146297,607245
2013-10-17,147284,545022
2013-10-18,127701,528777
2013-10-19,96193,322180
2013-10-20,116003,435966
2013-10-21,147506,647818
2013-10-22,146307,616245
2013-10-23,147903,613158
2013-10-24,138989,591706
2013-10-25,132912,599680
2013-10-26,100650,376604
2013-10-27,115007,435871
2013-10-28,150926,635067
2013-10-29,154086,581161
2013-10-30,153854,716697
2013-10-31,148755,667276
2013-11-01,124827,601369
2013-11-02,99588,431291
2013-11-03,116131,482486
2013-11-04,154082,682948
2013-11-05,158809,697486
2013-11-06,158722,736843
2013-11-07,154243,654450
2013-11-08,136947,632716
2013-11-09,108053,449386
2013-11-10,118401,444300
2013-11-11,150941,630734
2013-11-12,151554,773126
2013-11-13,158376,706866
2013-11-14,160790,707355
2013-11-15,140972,845258
2013-11-16,106914,412778
2013-11-17,126051,574917
2013-11-18,164925,838741
2013-11-19,163090,842175
2013-11-20,163553,617275
2013-11-21,160690,731375
2013-11-22,140669,577222
2013-11-23,110771,450028
2013-11-24,126171,453774
2013-11-25,159858,570940
2013-11-26,166723,624285
2013-11-27,153237,544068
2013-11-28,130289,648287
2013-11-29,121040,404319
2013-11-30,101473,320260
2013-12-01,118911,403347
2013-12-02,162689,618710
2013-12-03,169188,659312
2013-12-04,172308,634141
2013-12-05,163118,644372
2013-12-06,144737,584236
2013-12-07,109996,392340
2013-12-08,127513,417966
2013-12-09,168002,661981
2013-12-10,168586,614940
2013-12-11,160006,627054
2013-12-12,156247,569223
2013-12-13,137605,566533
2013-12-14,103414,365792
2013-12-15,119342,396223
2013-12-16,156264,584634
2013-12-17,155928,590264
2013-12-18,152828,597058
2013-12-19,145351,538897
2013-12-20,124783,516539
2013-12-21,86289,352059
2013-12-22,97335,368410
2013-12-23,115627,417410
2013-12-24,86974,300407
2013-12-25,78048,343378
2013-12-26,100134,343087
2013-12-27,101731,340620
2013-12-28,88509,261467
2013-12-29,97132,330281
2013-12-30,117271,409991
2013-12-31,87803,299108
