,Name,Location,Type,Latitude,Longitude,Elevation (m)
1432,Unnamed,Volcano Is-Japan,Submarine Volcano,26.13,144.48,-3200.0
1435,Unnamed,Kuril Is,Submarine Volcano,45.03,147.21,-930.0
1436,Unnamed,Kuril Is,Submarine Volcano,46.1,150.5,-100.0
1437,Unnamed,Kuril Is,Submarine Volcano,46.47,151.28,-502.0
1438,Unnamed,Kuril Is,Submarine Volcano,48.08,153.33,-150.0
1447,Unnamed,Pacific-NE,Submarine Volcano,31.75,-124.25,-2533.0
1448,Unnamed,Hawaiian Is,Submarine Volcano,21.75,-158.75,-3000.0
1449,Unnamed,Hawaiian Is,Submarine Volcano,23.58,-163.83,-4000.0
1451,Unnamed,Pacific-E,Submarine Volcano,9.83,-104.3,-2500.0
1452,Unnamed,Pacific-E,Submarine Volcano,-8.27,-107.95,-2800.0
1453,Unnamed,Pacific-S,Submarine Volcano,-53.9,-140.3,-1000.0
1457,Unnamed,Chile-Is,Submarine Volcano,-33.62,-76.83,-642.0
1458,Unnamed,Arctic Ocean,Submarine Volcano,88.27,-65.6,-1500.0
1459,Unnamed,Arctic Ocean,Submarine Volcano,85.58,85.0,-3800.0
1460,Unnamed,Atlantic-N,Submarine Volcano,49.0,-34.5,-1650.0
1461,Unnamed,Atlantic-N,Submarine Volcano,39.95,-25.83,-2835.0
1462,Unnamed,Atlantic-N,Submarine Volcano,38.75,-38.08,-4200.0
1463,Unnamed,Atlantic-C,Submarine Volcano,7.0,-21.83,-1415.0
1464,Unnamed,Atlantic-C,Submarine Volcano,4.2,-21.45,-2900.0
1465,Unnamed,Atlantic-C,Submarine Volcano,-0.72,-20.53,-1528.0
1466,Unnamed,Atlantic-C,Submarine Volcano,-3.5,-24.5,-5300.0
1468,Unnamed,Antarctica,Submarine Volcano,-76.83,163.0,-500.0
1479,Vailulu'u,Samoa-SW Pacific,Submarine Volcano,-14.22,-169.06,-592.0
1487,Vestmannaeyjar,Iceland-S,Submarine Volcano,63.43,-20.28,279.0
1497,Volcano W,Kermadec Is,Submarine Volcano,-31.85,-179.18,-900.0
1536,Yersey,Lesser Sunda Is,Submarine Volcano,-7.53,123.95,-3800.0
1552,Zengyu,Taiwan-N of,Submarine Volcano,26.18,122.46,-418.0
