,Country,Rank,Web Index,Universal Access,Education and awareness,Access and Affordability,Communications Infrastructure,Relevant Content,Web use,Content creation,Freedom and Openness,Freedom of the Web,Impact and Empowerment,Political impact,Social and environmental,Economic impact
63,South Africa,35,55.8,53.2,75.3,56.6,48.4,46.6,44.9,49.8,74.3,74.3,39.9,64.7,37.7,31.1
64,Spain,28,66.8,73.7,79.8,78.5,68.6,58.1,63.0,52.1,70.9,70.9,49.9,57.0,44.0,56.1
65,Sweden,1,100.0,94.4,95.2,94.3,86.3,90.1,86.9,86.6,86.1,86.1,92.2,93.1,99.2,82.8
66,Switzerland,17,79.3,84.0,79.6,81.2,91.1,71.2,74.2,64.7,81.0,81.0,59.3,85.5,43.0,58.7
67,Thailand,46,41.5,48.1,43.9,62.9,57.7,42.4,47.4,39.3,33.7,33.7,39.8,58.4,38.3,35.1
68,Tunisia,44,43.6,40.8,45.6,58.4,43.3,40.1,48.7,33.6,50.0,50.0,39.6,66.8,31.7,34.3
69,Turkey,58,30.9,36.5,35.3,52.0,50.2,29.0,31.9,30.7,38.5,38.5,24.5,33.8,28.0,25.4
70,Uganda,65,20.8,14.5,40.5,26.0,22.1,6.1,1.2,20.5,48.6,48.6,22.8,10.3,30.4,37.0
71,United Arab Emirates,45,42.7,56.1,50.0,75.1,57.0,76.8,92.7,55.4,10.8,10.8,26.4,22.2,31.2,36.1
72,United Kingdom Of Great Britain And Northern Ireland,3,95.6,86.2,81.1,92.4,81.4,100.0,91.8,100.0,73.5,73.5,87.3,100.0,73.3,89.5
73,United Republic Of Tanzania,59,30.6,28.7,59.0,42.3,20.0,19.8,11.3,35.4,52.5,52.5,25.8,29.1,39.2,21.7
74,United States Of America,4,95.2,85.1,94.3,91.1,67.9,88.0,71.7,99.0,71.0,71.0,100.0,95.2,100.0,100.0
75,Uruguay,29,62.0,55.4,73.2,65.3,45.4,60.9,65.7,54.6,79.9,79.9,39.2,58.7,37.2,34.3
76,Venezuela (Bolivarian Republic Of),52,37.7,48.5,57.2,65.7,42.7,44.5,55.1,34.9,32.9,32.9,27.0,44.8,35.0,16.7
77,Viet Nam,72,13.8,30.5,23.1,50.3,48.8,23.5,20.5,32.7,4.4,4.4,12.2,21.1,11.8,19.5
78,Yemen,81,0.0,3.2,0.0,35.8,20.3,7.0,16.8,5.6,7.7,7.7,3.7,24.2,7.3,0.0
79,Zambia,66,20.4,14.6,43.2,42.3,0.0,12.1,18.5,13.2,45.8,45.8,18.8,22.6,19.8,27.3
80,Zimbabwe,78,10.1,17.7,44.4,29.1,22.4,5.4,10.5,9.4,22.8,22.8,11.2,25.0,11.9,13.8
